HP:0012869	espécimen de espermatozoide acéfalo
HP:0001271	polineuropatía dependiente de la longitud
HP:0008750	atresia laríngea letal
HP:0001820	leuconiquia estriada
HP:0002878	insuficiencia respiratoria potencialmente mortal
HP:0000613	aversión a la luz
HP:0000635	ojos azul claro
HP:0030748	hemorragia limitada de la matriz germinal
HP:0004244	movilidad limitada con escafoides accesorio en algunos casos un escafoides accesorio puede limitar la movilidad de la muñeca o causar rigidez
HP:0020041	limitación de la mirada hacia arriba por parálisis del doble ascensor
HP:0010817	nevus sebáceo lineal de jadassohn
HP:0100029	glándula tiroides lingual
HP:0030905	reflejo labial iniciado por el hocico
HP:0030709	mielocistoma lipomatoso
HP:0045028	lisencefalia tipo iii: elementos gliales considerables, grosor cortical reducido y neuronas inmaduras
HP:0031590	fatiga visual literaria
HP:0001414	células hepáticas con esteatosis microvesicular
HP:0030076	lobular carcinoma in situ
HP:0008636	glomerulopatía lobular
HP:0001362	defecto craneal congénito localizado
HP:0100658	infección cutánea localizada
HP:0001308	fasciculaciones localizadas de la lengua
HP:0002816	rodilla bloqueada
HP:0030431	osteocondroma de la superficie del hueso largo
HP:0005223	segmento largo colon duplicado
HP:0004681	pliegue longitudinal del pie
HP:0001820	leuconiquia longitudinal
HP:0030804	estrías longitudinales de la uña de excesiva profundidad
HP:0010886	cuerpos sueltos en el espacio articular por osteocondritis disecante
HP:0001388	loosejointedness
HP:0010525	pérdida de la cinestesia digital
HP:0003073	niveles bajos de albúmina
HP:0001562	poco líquido amniótico
HP:0001518	bajo peso al nacer debido a la edad gestacional
HP:0003113	bajo nivel de cloruro en sangre
HP:0001562	oligohidramnios de baja edad gestacional
HP:0030851	diferenciación de presión de pulso baja
HP:0001882	recuento bajo de wbc
HP:0031615	hipopión de baja densidad
HP:0100775	lumbosacral dural ectasia
HP:0010889	lunatomalacia en individuos jóvenes
HP:0030078	subtipo de adenocarcinoma de pulmón
HP:0030078	adenocarcinoma de pulmón con crecimiento acinar
HP:0030078	adenocarcinoma de pulmón con crecimiento lepídico
HP:0030078	adenocarcinoma de pulmón con crecimiento papilar
HP:0002835	aspiración pulmonar
HP:0010616	diagnóstico de fibroma pulmonar
HP:0010616	tratamiento del fibroma pulmonar
HP:0031631	tejido pulmonar con panal subpleural
HP:0100768	coriocarcinoma con metástasis pulmonar
HP:0004251	sinostosis lunotriquetral
HP:0025343	aps relacionados con el anticoagulante lúpico
HP:0012798	linfangioleiomiomatosis
HP:0012189	linfoma de hodgkin con depleción linfocitaria
HP:0012189	linfoma de Hodgkin con predominio linfocítico
HP:0005592	macromelanosomas en melanocitos
HP:0012342	macroprolactinoma diagnosis
HP:0100293	hipertrofia macroscópica de las fibras musculares
HP:0025146	degeneración foveal de la mácula
HP:0011511	área macular escisión retiniana
HP:0025010	atrofia foveal macular
HP:0040186	erupción macular
HP:0011511	escisión macular retiniana
HP:0040186	erupción maculopapular
HP:0010620	diagnóstico de prominencia malar
HP:0010620	gestión de la prominencia malar
HP:0010620	observación de la prominencia malar
HP:0010620	patología de la prominencia malar
HP:0010620	pronóstico de la prominencia malar
HP:0010620	cirugía de la prominencia malar
HP:0010620	tratamiento de la prominencia malar
HP:0001738	maldigestión causada por insuficiencia pancreática
HP:0000771	aumento de pecho masculino
HP:0010796	glioma maligno del tronco encefálico
HP:0030755	teratoma craneofacial maligno
HP:0006733	trastorno maligno de los megacarioblastos primitivos
HP:0100001	el mesotelioma maligno es una forma de cáncer que se origina en las células del mesotelio, una fina capa de tejido que rodea los órganos internos del cuerpo. el mesotelioma maligno está causado casi exclusivamente por la exposición al amianto, siendo el mesotelioma pleural la forma más común, que afecta al revestimiento de los pulmones llamado pleura. otras formas como el mesotelioma perioneal, percárdico o testicular son mucho más raras.
HP:0100621	disgerminoma ovárico maligno
HP:0000030	potencial maligno en el gonadoblastoma testicular
HP:0006743	masa maligna de tejido blando con histología de rabdomiosarcoma embrionario
HP:0002248	síndrome de mallory-weiss
HP:0010603	tumor odontogénico queratoquístico mandibular
HP:0025313	exoforia manifiesta
HP:0001054	muchos lunares en la piel
HP:0005274	punta nasal marcada
HP:0040319	tono de orina marcadamente oscuro
HP:0040303	marcada disminución del hierro sérico
HP:0002280	cisterna magna notablemente agrandada
HP:0031591	válvula de Eustaquio marcadamente agrandada
HP:0003988	cúbito marcadamente largo
HP:0011417	cordón umbilical marcadamente largo
HP:0010810	úvula marcadamente larga
HP:0000448	nariz marcadamente prominente
HP:0001544	ombligo marcadamente prominente
HP:0030033	dedo marcadamente pequeño
HP:0000054	pene marcadamente pequeño
HP:0030031	dedo marcadamente pequeño
HP:0004261	hamate marcadamente ancho esta frase se utiliza cuando el hueso hamate es significativamente más ancho de lo normal, lo que podría observarse en radiografías o tomografías computarizadas.
HP:0100718	hemorragia materna por rotura uterina
HP:0010603	tumor odontogénico queratoquístico maxilar
HP:0033760	el consumo máximo de oxígeno se define como la tasa más alta de consumo y utilización de oxígeno por parte del organismo durante un ejercicio intenso y máximo, en el que los aumentos adicionales del ritmo de trabajo no provocan aumentos adicionales del vo2 . el vo2máx se mide normalmente con una cinta rodante y un ergómetro y el participante realiza ejercicios con niveles de intensidad crecientes. el vo2máx es el punto en el que el consumo de oxígeno ya no aumenta a pesar de un incremento de la carga de trabajo.
HP:0008501	labio leporino medial y paladar hendido
HP:0031173	espolón tibial medial
HP:0000161	labio leporino medio
HP:0008501	labio leporino medio y paladar hendido
HP:0100730	quiste broncogénico mediastínico
HP:0100721	linfadenopatía mediastínica detectada por imagen
HP:0008309	aciduria dicarboxílica de cadena media presente
HP:0008303	degeneración olivar medular
HP:0002865	neoplasia medular tiroidea
HP:0100581	megacalicosis
HP:0003805	vacuolas delimitadas por membranas
HP:0004746	depósitos membranoproliferativos gn tipo ii
HP:0031153	alteración vítrea membranosa
HP:0031153	cambio vítreo membranoso
HP:0031153	configuración vítrea membranosa
HP:0031153	delineación vítrea membranosa
HP:0031153	formación vítrea membranosa
HP:0031153	gel vítreo membranoso
HP:0031153	estructura vítrea membranosa
HP:0031179	signo de meningismo
HP:0100245	fibromatosis mesentérica: localización común de los tumores desmoides
HP:0002580	vólvulo mesentérico
HP:0003153	trastorno metabólico con cistationinuria
HP:0003150	trastorno metabólico con aciduria glutárica
HP:0030153	colangiocarcinoma metastásico
HP:0100768	coriocarcinoma metastásico
HP:0011459	carcinoma esofágico metastásico
HP:0011763	carcinoma hipofisario metastásico con afectación del snc
HP:0012570	sarcoma sinovial metastásico
HP:0012119	crisis de metahemoglobinemia
HP:0002912	biomarcador de acidemia metilmalónica
HP:0002912	diagnóstico de acidemia metilmalónica
HP:0100594	tercio medio/inferior de la membrana esofágica
HP:0008501	fisura labiopalatina media
HP:0010769	seno pilonidal medio
HP:0012854	defecto de hipospadias media caña
HP:0032037	reducción leve de la capacidad visual definida como una agudeza visual inferior a 6/12 pero al menos 6/18 .
HP:0008180	leve elevación de la creatina fosfoquinasa en sangre
HP:0012663	fracción de eyección del ventrículo izquierdo ligeramente reducida
HP:0003182	profundidad mínima de la fosa acetabular
HP:0010690	duplicación de dedos en imagen especular
HP:0010691	duplicación de los dedos de los pies
HP:0008498	falta de dientes adultos
HP:0002023	ausencia de ano al nacer
HP:0008459	síndrome de falta de vértebras cervicales
HP:0012189	linfoma de hodgkin de celularidad mixta
HP:0000410	hipoacusia mixta en ambos oídos
HP:0025272	melasma mixto
HP:0011068	odontoma mixto
HP:0031624	tratamiento de la miopía moderada
HP:0025502	sobrepeso moderado
HP:0030515	reducción moderada de la capacidad visual definida como una agudeza visual inferior a 6/18 pero al menos 6/60 .
HP:0002419	signo del diente molar en la resonancia magnética axial
HP:0002419	signo del diente molar en neuroimagen
HP:0000664	fenotipo de ceja única
HP:0030868	el monorquismo como anomalía congénita
HP:0005743	morbus legg-calve-perthes en niños
HP:0006640	más de una fractura de costillas.
HP:0025514	anomalía del disco de la gloria de la mañana/anomalía del disco óptico
HP:0025258	tortícolis matutina
HP:0012344	placas de morfea
HP:0000793	patogénesis del mpgn
HP:0002419	hallazgos de resonancia magnética compatibles con el signo del diente molar
HP:0002419	resonancia magnética que indica el signo del diente molar
HP:0002160	hiperhomocistinemia relacionada con la mutación del gen mthfr
HP:0001737	quistes pancreáticos mucinosos
HP:0012424	coriorretinitis multifocal
HP:0012683	multilocular pineal cyst
HP:0002253	divertículos colónicos múltiples
HP:0004850	múltiples episodios de tvd
HP:0011110	múltiples episodios de amigdalitis
HP:0006775	mieloma múltiple
HP:0006775	mieloma múltiple maligno
HP:0100297	biopsia muscular con aumento del tejido conjuntivo endomisio
HP:0011440	lesiones musculares debidas a la rabdomiólisis inducida por el alcohol
HP:0100293	hipertrofia de las fibras musculares en la biopsia
HP:0003798	fibras musculares con bastones nemalinos
HP:0100295	atrofia de las fibras musculares
HP:0003555	rotura de fibras musculares
HP:0003719	abultamiento muscular a la palpación
HP:0045029	fascitis eosinofílica asociada al músculo
HP:0003741	distrofia muscular congénita
HP:0003798	varillas musculares nemalinas
HP:0031453	lesiones mutliples de la mucosa oral que se asemejan a las características de la enfermedad liquen plano. se trata de lesiones reticulares simétricas que se asemejan a una red blanca lacelar, así como por pápulas, placas, lesiones eritematosas y erosiones.
HP:0031452	Lesiones cutáneas múltiples que se asemejan a las características de la enfermedad liquen plano. Estas lesiones son pápulas y placas violáceas, brillantes, aisladas y planas.
HP:0030904	signo de myerson: parpadeo persistente
HP:0031322	infiltración linfocítica miocárdica en la biopsia
HP:0011150	la crisis de ausencia mioclónica es un tipo de crisis no motora generalizada caracterizada por una interrupción de las actividades en curso, una mirada perdida y movimientos mioclónicos rítmicos de tres por segundo, que provocan una abducción en trinquete de las extremidades superiores que conduce a una elevación progresiva del brazo, y que se asocia a descargas de ondas en espiga generalizadas de 3 hz en el electroencefalograma. la duración suele ser de 10-60 s. aunque la alteración de la consciencia puede no ser evidente, la ilae clasificó esta crisis como una crisis no motora generalizada en 2017.
HP:0100319	misteriosos cuerpos hialinos cerebrales
HP:0010762	cordoma mixoide
HP:0007560	síndrome de naegeli-franceschetti-jadassohn: un trastorno genético raro que afecta a la piel, el pelo, las uñas y los dientes, con una característica dermatoglífica inusual
HP:0010733	Naevus flammeus localizado en la piel del párpado.
HP:0007413	naevus flammeus localizado en la piel de la frente.
HP:0007616	Naevus flammeus localizado en la piel del cuello. Se trata de una de las marcas de nacimiento más frecuentes y está presente en aproximadamente el 25% de todos los recién nacidos.
HP:0030804	condición de la matriz ungueal: traquioniquia
HP:0004283	base de mano estrecha
HP:0006342	incisivos laterales maxilares estrechos en forma de clavija
HP:0033000	El estrechamiento de la laringe, que suele producirse durante las infecciones víricas de las vías respiratorias, sobre todo en los niños, provoca síntomas como ronquera, tos perruna, estridor y, a veces, disnea e insuficiencia respiratoria.
HP:0010769	seno pilonidal nativo
HP:0010751	hoyuelo natural en la barbilla
HP:0002212	pelo rizado natural
HP:0004244	navicular secundario esta frase es otra forma de describir un escafoides accesorio, especialmente en relación con el hueso navicular del pie, aunque se utiliza con menos frecuencia en el contexto de la muñeca.
HP:0030658	inserción cordonal casi marginal
HP:0000465	trastorno de la cintilla cervical
HP:0025079	absceso pancreático necrotizante
HP:0003798	bastones de nemalina en las fibras musculares
HP:0032832	La crisis mioclónica asimétrica bilateral neonatal es un tipo de crisis motora electroclínica neonatal en la que la característica motora predominante es la contracción involuntaria, breve y repentina, única o múltiple, de músculos o grupos musculares de topografía variable que se produce a ambos lados del cuerpo de forma asimétrica.
HP:0032836	La crisis mioclónica bilateral simétrica neonatal es un tipo de crisis motora electroclínica neonatal en la que la característica motora predominante es la contracción involuntaria, breve y repentina, única o múltiple, de músculos o grupos musculares de topografía variable que se produce en ambos lados del cuerpo de forma simétrica.
HP:0012541	cefalohematoma neonatal
HP:0032829	La convulsión motora electroclínica neonatal con automatismo es un tipo de convulsión electroclínica neonatal en la que el evento electrográfico se correlaciona con una actividad motora coordinada, típicamente oral, generalmente con alteración del estado de alerta, y en asociación con otras características.
HP:0030711	hidrocolpos neonatal causado por acumulación de líquido
HP:0002199	crisis hipocalcémicas neonatales
HP:0001998	hipoglucemia neonatal por hiperinsulinismo
HP:0001998	hipoglucemia neonatal por asfixia al nacer
HP:0032816	La convulsión mioclónica multifocal neonatal es un tipo de convulsión motora electroclínica neonatal en la que la característica motora predominante es la contracción repentina, breve e involuntaria, única o múltiple, de músculos o grupos musculares de topografía variable que se produce en múltiples sitios.
HP:0032835	La convulsión neonatal con automatismo bilateral asimétrico es un tipo de convulsión electroclínica neonatal en la que el evento electrográfico se correlaciona con una actividad motora coordinada, típicamente oral, generalmente con alteración del estado de alerta, que se produce en ambos lados del cuerpo de forma simétrica.
HP:0032834	La convulsión neonatal con automatismos asimétricos bilaterales es un tipo de convulsión electroclínica neonatal en la que el evento electrográfico se correlaciona con una actividad motora coordinada, típicamente oral, generalmente con alteración del estado de alerta, que se produce en un lado del cuerpo.
HP:0005550	proliferación neoplásica de células b
HP:0011816	anomalía neurocraneal: encefalocele parietal posterior
HP:0007354	trastorno neurodegenerativo que afecta a las neuronas motoras
HP:0032928	La cadena ligera de neurofilamentos es una proteína citoplasmática neuronal muy expresada en los axones mielinizados de gran calibre. Sus niveles aumentan en el líquido cefalorraquídeo y en la sangre proporcionalmente al grado de daño axonal en diversos trastornos neurológicos, como las enfermedades inflamatorias, neurodegenerativas, traumáticas y cerebrovasculares.
HP:0000011	disfunción vesical neurogénica
HP:0007346	hallazgo de neuroimagen: calcificaciones subcorticales de la sustancia blanca
HP:0006888	defecto neurológico con meningoencefalocele
HP:0011816	defecto neurológico: encefalocele parietal con exposición del tejido neural
HP:0040146	deterioro neurológico debido a acidemia d-2-hidroxiglutárica
HP:0030710	lipomeningocele neurológicamente intacto
HP:0100316	inclusiones neuronales con actina y proteínas asociadas a la actina
HP:0100316	depósitos intracelulares neuronales asociados a actina
HP:0002419	signo neurorradiológico del diente molar
HP:0040310	artritis estéril neutrofílica
HP:0025106	nevus rosado diagnóstico
HP:0011497	nuevo crecimiento de vasos en la superficie del iris.
HP:0030923	recién nacido con una puntuación de apgar a los 5 minutos de 3
HP:0001543	recién nacido con gastrosquisis
HP:0030765	episodios de terror nocturno
HP:0031355	mantenimiento del sueño nocturno insomnio
HP:0008498	sin dentición adulta
HP:0008498	sin dentición secundaria
HP:0012189	esclerosis nodular linfoma de hodgkin
HP:5200292	sueño no reparador
HP:0025342	oclusión no arterítica de la arteria central de la retina
HP:0100335	labio leporino no medio
HP:0002578	gastroparesia no obstructiva
HP:0001407	quistes hepáticos no parasitarios
HP:0030423	quiste esplénico no parasitario
HP:0002416	quistes subependimarios no progresivos
HP:0100035	tics fónicos no vocales
HP:0008711	agrandamiento no canceroso de la próstata
HP:0007354	enfermedad degenerativa no curable de las motoneuronas
HP:0012121	panuveítis no granulomatosa
HP:0006770	CCR no papilar
HP:0000878	complemento normal de las costillas 11 pares
HP:0004841	hemostasia y trombosis normales a pesar de la deficiencia de fxii
HP:0002343	síndrome de hidrocefalia normotensiva
HP:0100107	pseudoepífisis normal de la falange distal del 2º dedo del pie
HP:0002907	orina de aspecto normal pero con hematuria microscópica
HP:0002190	quiste del plexo coroideo variante normal
HP:0001334	hidrocefalia comunicante de presión normal
HP:0031663	normalmente, el cierre de la válvula aórtica va seguido del cierre de la válvula pulmonar, pero el intervalo a2-p2 aumenta con la inspiración y disminuye con la espiración. con el desdoblamiento paradójico, se produce un retraso en el cierre de la válvula aórtica, de modo que a2 puede seguir a p2; los componentes individuales pueden apreciarse al final de la espiración y el intervalo se estrecha con la inspiración .
HP:0012311	monocitosis notable en sangre periférica
HP:0005849	nota aunque calcificación cerebral difusa es el término dado los sinónimos y frases descriptivas se centran en el concepto más amplio de calcificación extendida o generalizada para enfatizar la naturaleza extensa de la condición
HP:0007765	tenga en cuenta que, aunque hay muchas maneras de describir la cámara anterior profunda, estas frases pretenden transmitir el concepto médico de forma clara y concisa, centrándose en la relevancia clínica y la utilidad en las historias clínicas o los debates con los pacientes.
HP:0100102	parte terminal en forma de cono del hueso más externo del 2º dedo del pie
HP:0001003	numerosas manchas hepáticas
HP:0031190	numerosos linfocitos que rodean los vasos sanguíneos en la parte superficial de la dermis.
HP:0000722	comportamiento obsesivo-compulsivo
HP:0030711	emergencia obstétrica: hidrocolpos
HP:0011412	extracción obstétrica al vacío
HP:0030711	obstrucción del conducto mülleriano que provoca hidrocolpos
HP:0002888	obstrucción del flujo de líquido cefalorraquídeo por ependimoma
HP:0100676	linfocele vaginal inducido por obstrucción
HP:0011962	azoospermia obstructiva identificada mediante biopsia testicular
HP:0002870	apnea obstructiva del sueño
HP:0030812	agrandamiento amigdalar obstructivo
HP:0007271	mielocele occipital
HP:0025453	aparición de la adrenarquia a una edad más tardía de lo normal. la adrenarquia se produce normalmente entre los seis y los ocho años de edad, con un aumento de la secreción de andrógenos suprarrenales; su función biológica exacta no se conoce bien. se acompaña de cambios en las unidades pilosebáceas, un estirón transitorio y la aparición de vello axilar y púbico en algunos niños, pero sin desarrollo sexual.
HP:0011212	aparición de descargas epileptiformes en las regiones occipital y central durante la estimulación fótica.
HP:4000152	Este término puede referirse a la alternancia de los lados del cuerpo o de los lados alternativos del campo visual.
HP:0031152	tamaño del agujero macular de espesor total determinado por oct.
HP:0007773	Anomalía ocular caracterizada por una degeneración prematura del vítreo y la retina que puede asociarse a un mayor riesgo de desprendimiento de retina.
HP:0001107	síndrome de albinismo ocular
HP:0031931	El aleteo ocular es un movimiento ocular anormal que consiste en sacadas horizontales repetitivas, irregulares e involuntarias sin intervalo intersacádico. Generalmente se superpone al comportamiento oculomotor normal y su aparición puede verse favorecida por diversos acontecimientos, como el parpadeo, el desencadenamiento de sacadas normales o la estimulación optocinética.
HP:0011886	hifema ocular
HP:0012019	luxación del cristalino
HP:0030672	manifestación ocular de la hialosis asteroidea
HP:0000657	la apraxia ocular motora es una deficiencia de los movimientos oculares voluntarios, horizontales, laterales y rápidos, con retención de los movimientos lentos de persecución. la incapacidad para seguir objetos visualmente suele compensarse con movimientos de la cabeza. puede haber disminución de la persecución suave y anulación del reflejo vestíbulo-ocular.
HP:0001489	patología ocular: desprendimiento vítreo
HP:0012627	deposición de material de pseudoexfoliación ocular
HP:0100532	escleritis ocular
HP:0000490	oculars inset in facial plane
HP:0007115	encefalocele oculo-orbital
HP:0100755	secreciones orales extrañas
HP:5200113	ofrece información
HP:0001539	defecto de onfalocele
HP:0025390	En la tomografía computarizada pulmonar de alta resolución, el patrón reticular se caracteriza por innumerables sombras entrelazadas que sugieren una malla.
HP:0030507	hallazgos oftalmológicos: cristales retinianos
HP:0030508	hallazgo oftalmoscópico: hemangioma cavernoso retiniano
HP:0030521	disfunción del quiasma óptico que provoca hemianopía bitemporal
HP:0000588	coloboma del disco óptico
HP:0030508	deformidad de la cabeza del nervio óptico por hemangioma cavernoso retiniano
HP:0007770	retina ópticamente subdesarrollada
HP:0030934	eritroplasia oral
HP:0030814	amígdalas naranjas por vía oral
HP:0000802	impotencia orgánica
HP:0031022	papiloma escamoso orofaríngeo
HP:0003218	aciduria orótica
HP:0004244	os styloideum este término se utiliza a menudo indistintamente con escafoides accesorio y se refiere al mismo hueso adicional
HP:0010890	osd
HP:0025004	hallux rigidus osteoartrítico
HP:0002669	sarcoma osteogénico con limitación del movimiento
HP:0004699	predisposición a la fractura metatarsiana osteoporótica
HP:0004699	fracturas osteoporóticas por fragilidad metatarsiana
HP:0004699	debilidad metatarsal osteoporótica
HP:0002669	osteosarcoma con restricción del movimiento articular
HP:0000884	esternón prominente
HP:0010618	ovarian fibroma diagnosis
HP:0010618	ovarian fibroma management
HP:0010618	patología del fibroma ovárico
HP:0010618	ovarian fibroma prognosis
HP:0010618	ovarian fibroma recurrence
HP:0010618	ovarian fibroma surgery
HP:0010618	fibroma ovárico síntomas
HP:0010618	tratamiento del fibroma ovárico
HP:0000149	ovarian gonadoblastoma in females
HP:0100621	neoplasia ovárica
HP:0008528	vello de las orejas demasiado crecido
HP:0001833	pies demasiado largos
HP:0010810	úvula demasiado larga
HP:0007425	piel de la cara demasiado elástica
HP:0001894	sobreproducción de plaquetas
HP:0025502	sobrepeso
HP:0025464	carga de estrés oxidativo
HP:0031601	morfología de la onda p consistente con p pulmonale
HP:0020192	paquigiria con una corteza cerebral ligeramente engrosada que mide entre 5 y 10 mm. hay que tener en cuenta que el grosor cortical no puede medirse de forma fiable en las exploraciones realizadas entre los 3 y los 24 meses de edad.
HP:0020189	paquigiria con un grosor cortical superior a 10 mm y un gradiente de gravedad de predominio posterior. el gradiente de gravedad se determina en función de la anchura giral, con giros típicamente más anchos de 5 mm en las regiones más gravemente afectadas. el gradiente de predominio posterior indica una paquigiria más grave en otros lóbulos occipitales, pero también incluye una rara paquigiria de predominio perisilviano y una paquigiria de predominio temporal.
HP:0020188	paquigiria con un grosor cortical de entre 5 y 10 mm y un gradiente de gravedad de predominio posterior. el gradiente de gravedad se determina en función de la anchura giral, con giros típicamente de más de 5 mm en las regiones más gravemente afectadas. el gradiente de predominio posterior indica una paquigiria más grave en otros lóbulos occipitales, pero también incluye una paquigiria rara de predominio perisilviano y una paquigiria de predominio temporal.
HP:0020191	paquigiria con un grosor cortical superior a 10 mm y un gradiente de gravedad de predominio anterior. el gradiente de gravedad se determina en función de la anchura giral, con giros típicamente más anchos de 5 mm en las regiones más gravemente afectadas. el gradiente de predominio anterior indica una paquigiria más grave en los lóbulos frontal y temporal.
HP:0012618	quiste uracal pediátrico
HP:0033345	dolor a lo largo del recorrido de un nervio.
HP:0025271	espasmos esofágicos dolorosos
HP:0025258	rigidez dolorosa del cuello
HP:0002102	pleuresía dolorosa
HP:0002185	filamentos helicoidales emparejados en las neuronas
HP:0000543	disco óptico pálido
HP:0010729	Palidez de la mácula perifoveal de la retina con aparición de una pequeña forma circular de coroides rojiza vista a través de la fóvea central debido a la relativa transparencia de la mácula.
HP:0031500	masa abdominal palpable
HP:0011801	agrandamiento palpable de la glándula parótida
HP:0031501	masa pélvica palpable
HP:0006277	páncreas con crecimiento celular excesivo
HP:0002895	carcinoma papilar de tiroides con metástasis en los ganglios linfáticos
HP:0100753	esquizofrenia paranoide
HP:0500087	atrofia parapapilar
HP:0003529	aumento de la reabsorción tubular renal de ca independiente de la parathormona
HP:0002897	adenoma paratiroideo con potencial de recurrencia
HP:0002897	adenomas paratiroideos que requieren resección quirúrgica
HP:0006780	cáncer de paratiroides con pth elevada
HP:0000749	ataques paroxísticos de risa
HP:0004818	trastorno de hemoglobinuria paroxística nocturna
HP:0031139	postura pasiva de piernas de rana
HP:0002025	estenosis anal patológica
HP:0002249	heces negras patológicas
HP:0002135	calcificación patológica de los ganglios basales
HP:0010875	reflejo de chaddock patológico
HP:0012819	confirmación patológica de la miocarditis
HP:0100583	perforación corneal patológica con prolapso del iris
HP:0040319	coloración oscura patológica de la orina
HP:0011801	agrandamiento patológico de la glándula parótida
HP:0031188	edema genital patológico
HP:0030904	reflejo glabelar patológico
HP:0002516	hipertensión intracraneal patológica
HP:0011497	neovascularización patológica del iris
HP:0001611	habla nasal patológica
HP:0001998	hipoglucemia neonatal patológica
HP:0031226	acumulación patológica de líquido perinéfrico
HP:0031597	elevación patológica del segmento pr
HP:0003765	cambios patológicos de la piel parecidos a la psoriasis
HP:0040315	edema lingual patológico
HP:0002787	calcificación traqueal patológica
HP:0040269	trompa de Eustaquio patológicamente obstruida
HP:0010796	Glioma del tronco encefálico confirmado patológicamente.
HP:0004972	presión arterial media patológicamente elevada
HP:0008318	fosfatasa alcalina leucocitaria patológicamente elevada
HP:0012066	aumento patológico de la excreción urinaria de disacáridos
HP:0100882	hamartoma fibroso pediátrico
HP:0010452	bazo ectópico pélvico
HP:0000125	displasia renal pélvica
HP:0031026	pelvis con ilios en forma de caracol
HP:0012044	nistagmo pendular
HP:0000802	disfunción eréctil del pene
HP:0002588	úlcera péptica duodenal
HP:0003193	rinitis alérgica perenne
HP:0011110	amigdalitis periódica
HP:0030431	periosteal osteochondroma
HP:0031485	reacción perióstica con formación ósea
HP:0100305	fibras anulares periféricas
HP:0004754	afib permanente
HP:0030743	Persistencia de un remanente posterior de la arteria hialoidea situado en el disco óptico.
HP:0001660	tronco arterial persistente
HP:0007968	persistencia de la arteria hialoidea, que es la arteria embrionaria que va desde el disco óptico hasta la cápsula posterior del cristalino puede persistir; el lugar de unión puede formar una opacidad. la arteria hialoidea es una rama de la arteria oftálmica, y normalmente retrocede completamente antes del nacimiento. esta característica es el resultado de un fallo de regresión del vaso hialoideo, que irriga el vítreo primario durante la embriogénesis y normalmente retrocede en el tercer trimestre del embarazo, dando lugar a una forma particular de catarata posterior.
HP:0032248	persistencia del virus en la circulación sanguínea durante más tiempo del que sería normal en un huésped inmunocomprometido.
HP:0011448	clonus persistente del tobillo
HP:0011650	conducto arterioso bilateral persistente
HP:0012453	contractura bilateral persistente en flexión de la muñeca
HP:0002247	atresia duodenal persistente
HP:0001655	comunicación cardiaca fetal persistente
HP:0012168	golpes de cabeza persistentes sobre superficies
HP:0004872	hernia incisional persistente
HP:0040144	aciduria l-2-hidroxiglutárica persistente
HP:0030166	sudores nocturnos persistentes
HP:0000982	queratodermia palmar y plantar persistente
HP:0010610	fosas palmares persistentes
HP:0002697	forámenes parietales persistentes
HP:0011449	clonus rotuliano persistente
HP:0010612	fosas plantares persistentes
HP:0040212	risus sardonicus persistente
HP:0010541	surcos persistentes en el cuero cabelludo
HP:0030035	nefrolitiasis persistente de estruvita
HP:0030713	sistema arterial del trigémino persistente con aneurisma de la vena de galeno
HP:0010479	conexión uraco persistente
HP:0030943	dolor vulvar persistente
HP:0011227	crp persistentemente elevada
HP:0003131	niveles de cistina en orina persistentemente elevados
HP:0032505	espasmos faríngeos provocados por un intento de beber.
HP:0001741	fimosis masculina
HP:0001741	síntomas de la fimosis
HP:0004848	leucemia linfoblástica aguda fpositiva
HP:0000713	agitación física
HP:0000965	cutis marmorata fisiológico
HP:0012323	mioclonía fisiológica del sueño
HP:0007544	El piebaldismo se caracteriza por manchas despigmentadas estables y persistentes, bien circunscritas, presentes al nacer, que afectan a la piel de la cara, el tronco y las extremidades en una distribución simétrica.
HP:0031201	cilindros granulares pigmentados o claros
HP:0030407	pineocitoma con bajo índice proliferativo
HP:0011763	carcinoma hipofisario con múltiples focos metastásicos
HP:0011419	incidente de desprendimiento de placenta
HP:0100870	telangiectasia plantar
HP:0003454	título elevado de anticuerpos plaquetarios
HP:0040175	síndrome de deficiencia de acetilhidrolasa del factor activador de plaquetas
HP:0008279	tenga en cuenta que, aunque estas frases están relacionadas con el concepto de hiperlipidemia transitoria, es fundamental asegurarse de que se utiliza la terminología médica correcta en los historiales de los pacientes y de que el diagnóstico específico se confirma mediante las pruebas y evaluaciones médicas adecuadas.
HP:0012174	glioblastoma pleomórfico
HP:0004394	pólipos gástricos plurales
HP:0003990	hueso cúbito puntiagudo el hueso cúbito tiene un extremo puntiagudo en lugar de un extremo plano, lo que provoca problemas de articulación y funcionamiento del hueso
HP:0003990	síndrome del cúbito puntiagudo afección caracterizada por un hueso cúbito puntiagudo que provoca dificultades en la alineación ósea, el movimiento y el funcionamiento general.
HP:0011500	condición de policoria detectada
HP:0031677	vt polimórfico
HP:0001748	síndrome de poliesplenia
HP:0001748	poliesplenia con defectos cardíacos
HP:0002558	politelia
HP:0006446	mala alineación rotuliana esta frase describe la desalineación de la rótula en relación con el fémur, que puede ser consecuencia de una rótula displásica y dar lugar a diversas complicaciones
HP:0025152	comportamiento visual deficiente para la edad
HP:0007766	bordes del disco óptico poco definidos este término se refiere a los bordes menos definidos de los discos ópticos en la hipoplasia del disco óptico.
HP:0031497	carcinoma colorrectal mucinoso poco diferenciado
HP:0006780	carcinoma paratiroideo pobremente diferenciado
