HP:0000002	Desviación de la norma de estatura con respecto a la esperada según las normas de edad y sexo.
HP:0030786	Percepción de destellos de luz.
HP:0030787	Cualquier anomalía del cerumen (cera del oído), la sustancia cerosa amarillenta segregada en el conducto auditivo externo.
HP:0030788	Obstrucción del conducto auditivo externo por acumulación de cerumen.
HP:0030789	Aumento de la cantidad de cerumen.
HP:0030790	Un color de cerumen anómalo. El cerumen suele ser de color marrón claro a oscuro o naranja.
HP:0030791	Anomalía estructural de la mandíbula, la estructura ósea de la boca formada por la mandíbula y el maxilar.
HP:0030792	Tumor originado en la mandíbula o el maxilar.
HP:0030793	Agrandamiento anormal del maxilar superior o de la mandíbula.
HP:0030794	Una concentración circulante anómala del péptido conector (C), que une las cadenas A y B de la insulina en la proinsulina, proporcionando así un medio para promover su plegamiento y ensamblaje eficientes en el retículo endoplásmico durante la biosíntesis de la insulina. Tras la escisión de la proinsulina, el péptido C se almacena con la insulina en la fase soluble de los gránulos secretores y posteriormente se libera en cantidades equimolares con la insulina, proporcionando un indicador independiente útil de la secreción de insulina.
HP:0030795	Disminución de la concentración de péptido C en la circulación. Dado que el péptido C se secreta en cantidades equimolares a la insulina, esta característica se correlaciona con una menor secreción de insulina.
HP:0030796	Una concentración elevada de péptido C en la circulación. Dado que el péptido C se secreta en cantidades equimolares a la insulina, esta característica se correlaciona con un aumento de la secreción de insulina.
HP:0030797	Disminución del volumen de la parte central del núcleo del lecho de la estría terminal.
HP:0030798	La estría terminal es un haz de fibras delgado y compacto que conecta la amígdala (cuerpo amigdalino) con el hipotálamo y otras regiones basales del cerebro anterior. El núcleo del lecho de la estría terminal es una estructura límbica del cerebro anterior que recibe fuertes proyecciones de, entre otras áreas, la amígdala basolateral, y se proyecta a su vez a áreas diana hipotalámicas y del tronco encefálico que median muchas de las respuestas autonómicas y conductuales a estímulos aversivos o amenazantes. Este término se refiere a una anomalía del núcleo del lecho.
HP:0030799	La escafocefalia es un subtipo de dolicocefalia en la que los aspectos anterior y posterior de la bóveda craneal son puntiagudos (en forma de barco). La escafocefalia está causada por una fusión precoz de la sutura sagital sin otras sinostosis asociadas.
HP:0030800	Anomalía en el proceso de acomodación visual, que es el proceso de ajuste del ojo para permitir una visión nítida de los objetos a diferentes distancias. La acomodación está mediada por la contracción de los músculos ciliares, que alteran la convexidad del cristalino y, en consecuencia, su poder refractivo.
HP:0030801	Disminución de la capacidad del ojo para ajustarse y permitir así una visión nítida de los objetos a diferentes distancias.
HP:0030802	Malposición inferior del margen del párpado inferior sin eversión del párpado.
HP:0030803	Uña plana anormal.
HP:0030804	Excesiva cresta longitudinal que da a la superficie de la lámina ungueal un aspecto rugoso. Es el resultado de múltiples focos de queratinización defectuosa de la matriz ungueal proximal.
HP:0030805	Falta de lúnula en la base de la uña. La lúnula es la zona blanquecina en forma de media luna del lecho de una uña de la mano o del pie.
HP:0030806	Uñas cuyo crecimiento es más rápido de lo normal.
HP:0030807	Uña cuyo patrón o velocidad de crecimiento se desvía de lo normal.
HP:0030808	La cutícula (también llamada eponiquio, pliegue ungueal medio o pliegue ungueal proximal) es la capa de piel engrosada que rodea las uñas de manos y pies. Su función es proteger la zona entre la uña y la epidermis de la exposición a las bacterias. Este término hace referencia a la presencia de un borde o contorno irregular de la cutícula.
HP:0030809	Cualquier anomalía estructural de la lengua.
HP:0030810	Cualquier anomalía funcional de la lengua.
HP:0030811	Sensación desagradable caracterizada por una molestia física (como pinchazos, palpitaciones o dolor) localizada en la lengua.
HP:0030812	Aumento del tamaño de las amígdalas, pequeñas acumulaciones de tejido linfoide orientadas hacia el tracto aerodigestivo a ambos lados de la parte posterior de la garganta.
HP:0030813	Ausencia de tejido amigdalar observable.
HP:0030814	Un fenómeno de color naranja amígdalas orales. Este rasgo es característico de la enfermedad de Tánger y se ilustra en la figura 1 de PMID:19470903.
HP:0030815	Lipoma localizado en la lengua. Puede presentarse como una masa esférica, blanda y no sensible en la lengua.
HP:0030816	La pérdida de tejido gingival. El resultado es que el tejido gingival se retrae y su posición sobre el diente desciende, dejando al descubierto las raíces de los dientes.
HP:0030817	Fuerte curvatura de la uña, que hace que la punta de la uña apunte hacia abajo con respecto al eje del dedo. Las uñas en pico están causadas por la reabsorción del dedo distal.
HP:0030818	Presencia de una línea deprimida (canal) en el centro de la uña.
HP:0030819	Clavos que se inclinan hacia arriba en el borde libre.
HP:0030820	Párpado parcialmente cubierto por la piel cuando los ojos están abiertos.
HP:0030821	Párpado inferior parcialmente cubierto por la piel cuando los ojos están abiertos.
HP:0030822	Párpado superior parcialmente cubierto por la piel cuando los ojos están abiertos.
HP:0030823	Aumento de la dimensión de la esclerótica en el eje anteroposterior.
HP:0030824	Cambio del color del fondo de ojo de rojo en el estado de adaptación a la oscuridad a dorado inmediatamente o poco después de la aparición de la luz. El color del reflejo del fondo de ojo en el estado adaptado a la luz también se ha descrito como amarillo dorado, blanco grisáceo y blanco amarillento. Este reflejo puede aparecer homogéneo o en estrías en el fondo de ojo. Los vasos retinianos parecen sobresalir en contraste con el fondo radiante. La adaptación a la oscuridad provoca la desaparición de la coloración inusual del fondo de ojo [Digital Journal of Ophthalmology 2008; Volume 14, Number 14].
HP:0030825	Falta del reflejo foveal, que normalmente se produce como resultado del reflejo de la luz del oftalmoscopio en la fóvea durante el examen. El reflejo foveal es un punto luminoso brillante que se observa moverse lateralmente o hacia arriba y hacia abajo en respuesta al movimiento del oftalmoscopio.
HP:0030826	Pequeñas contracciones musculares repetitivas en los párpados, que provocan la aparición de tics.
HP:0030828	Un silbido agudo asociado a una respiración dificultosa.
HP:0030829	Sonido anómalo (adventicio) producido por el proceso respiratorio.
HP:0030830	Los crepitantes son sonidos pulmonares adventicios discontinuos, explosivos y no musicales que se oyen normalmente en la inspiración y a veces durante la espiración. Los crepitantes suelen clasificarse en finos y gruesos en función de su duración, intensidad, tono, momento del ciclo respiratorio y relación con la tos y el cambio de posición del cuerpo.
HP:0030831	Ruidos respiratorios anormales caracterizados por sonidos graves, como ronquidos o traqueteos.
HP:0030832	Opacidades en forma de fibra o cuerda localizadas en el humor vítreo.
HP:0030833	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolor) localizadas en el cuello.
HP:0030834	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en el hombro.
HP:0030835	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en el codo.
HP:0030836	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en la muñeca.
HP:0030837	Sensación desagradable caracterizada por una molestia física (como pinchazos, palpitaciones o dolor) localizada en el dedo.
HP:0030838	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en la cadera.
HP:0030839	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en la rodilla.
HP:0030840	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en el tobillo.
HP:0030841	Sensación desagradable caracterizada por una molestia física (como pinchazos, palpitaciones o dolor) localizada en el dedo del pie.
HP:0030842	Incidentes en los que un trozo de comida u otros objetos se atascan en las vías respiratorias superiores y provocan tos, arcadas, incapacidad para hablar y dificultad para respirar.
HP:0030843	Depósito extracelular en el tejido cardiaco de un material proteínico que, cuando se tiñe con rojo Congo, muestra birrefringencia verde manzana bajo luz polarizada y que tiene un color distinto cuando se tiñe con azul Alcian sulfatado. Vistos con microscopía electrónica, los depósitos amiloides están compuestos por un material fibrilar en forma de lámina beta. Estas fibrillas no ramificadas tienen un diámetro de 7,5 a 10 nm y son el resultado de un mal plegamiento de la proteína.
HP:0030844	Ausencia de respuesta a un electrorretinograma patrón (PERG).
HP:0030845	La erupción del heliotropo es una decoloración violácea de los párpados asociada a un edema periorbitario.
HP:0030846	Una anomalía de la función venosa.
HP:0030847	Anomalía de la presión venosa yugular. Las venas yugulares internas, al ser continuas con la vena cava superior, proporcionan una medida visible del grado de llenado del reservorio venoso sistémico. La altura vertical por encima de la aurícula derecha a la que están distendidas y por encima de la cual se encuentran en estado de colapso proporciona un reflejo imperfecto de la presión auricular derecha.
HP:0030848	Aumento de la presión venosa yugular.
HP:0030849	El examinador aplica una presión firme pero persistente sobre el hígado durante 10 segundos mientras observa la presión venosa yugular media. Normalmente, la presión venosa yugular media no aumenta o lo hace de forma transitoria (de 2 a 3 segundos). Un aumento sostenido de la presión venosa media hasta que se libera la compresión abdominal es anormal e indica una alteración de la función del corazón derecho. Esta respuesta anormal se denomina reflujo hepatoyugular.
HP:0030850	Anomalía de la presión del pulso, que se define como la presión sistólica menos la presión diastólica.
HP:0030851	Reducción de la amplitud de la presión del pulso (presión arterial sistólica menos presión arterial diastólica).
HP:0030852	Aumento de la amplitud de la presión del pulso (presión arterial sistólica menos presión arterial diastólica).
HP:0030853	Anomalía en la que los órganos toraco-abdominales internos muestran una disposición anormal a lo largo del eje izquierda-derecha del cuerpo.
HP:0030854	Un estafiloma es un defecto localizado en la pared ocular con protrusión de tejido uveal debido a alteraciones en el grosor y la estructura de la esclerótica.
HP:0030855	Defecto localizado en la pared anterior del ojo con protrusión del tejido uveal debido a alteraciones del grosor y la estructura de la esclerótica.
HP:0030856	Defecto localizado en la pared posterior del ojo con protrusión del tejido uveal debido a alteraciones del grosor y la estructura de la esclerótica.
HP:0030857	Sensación desagradable caracterizada por molestias físicas (como pinchazos, palpitaciones o dolores) localizadas en el ojo que empeoran en determinadas direcciones de la mirada y durante la fijación prolongada de la mirada.
HP:0030858	Cuando una actividad, sustancia, objeto o comportamiento se convierte en el centro principal de la vida de una persona, excluyendo otras actividades, o ha empezado a perjudicar al individuo o a otros física, mental o socialmente, puede considerarse un comportamiento adictivo. Una persona puede convertirse en adicta o dedicarse compulsivamente a cualquier cosa.
HP:0030859	Presencia de autoanticuerpos (inmunoglobulinas) en el suero que reaccionan contra la topoisomerasa I.
HP:0030860	Concentración anormal de amiloide en el líquido cefalorraquídeo (LCR).
HP:0030861	Reducción de la concentración de amiloide en el líquido cefalorraquídeo (LCR).
HP:0030862	Aumento de la concentración de amiloide en el líquido cefalorraquídeo (LCR).
HP:0030863	Ensanchamiento de las fosas nasales al inhalar como manifestación de dificultad respiratoria.
HP:0030864	Tirón hacia dentro de los tejidos blandos entre las costillas al inhalar. Esto es un signo de un mayor uso de los músculos del pecho para respirar y es una manifestación de dificultad respiratoria.
HP:0030865	Aumento anormal del tamaño de la articulación del codo.
HP:0030866	Aumento anormal del tamaño de la articulación de la rodilla.
HP:0030867	Las órbitas no se sitúan en el mismo plano horizontal, es decir, un ojo está más bajo que el otro.
HP:0030868	Tener un solo testículo en el escroto.
HP:0030869	Anomalía del desarrollo sexual XY caracterizada por la ausencia de ambos testículos al nacer.
HP:0030870	Anomalía de las pequeñas articulaciones situadas entre y detrás de las vértebras adyacentes.
HP:0030871	Osteoartritis de las articulaciones facetarias de la columna vertebral. La degeneración del cartílago de las articulaciones facetarias provoca el roce de hueso con hueso y la formación de hueso nuevo reactivo visible en las radiografías.
HP:0030872	Anomalía de la función ventricular cardiaca.
HP:0030873	Presencia de autoanticuerpos (inmunoglobulinas) en el suero que reaccionan contra los centrómeros o sus componentes.
HP:0030874	Saturación de oxígeno inferior al 95% en caso de esfuerzo o descenso de la presión parcial arterial de oxígeno superior a 1 kPa.
HP:0030875	Anomalía funcional de la parte del sistema cardiovascular que transporta la sangre desoxigenada del corazón a los pulmones y devuelve la sangre oxigenada al corazón.
HP:0030876	Presión capilar pulmonar en cuña (PCWP) superior a 15mmHg.
HP:0030877	FEV1/FVC anormalmente bajo (FEV1: volumen espiratorio forzado en 1 segundo; FVC: capacidad vital forzada).
HP:0030878	Cualquier anomalía medida mediante pruebas de la función pulmonar, que incluyen espirometría, medidas de la capacidad de difusión y pletismografía.
HP:0030879	Presencia de engrosamiento de los septos interlobulares de los pulmones, como se observa en una tomografía computarizada.
HP:0030881	Atrapamiento y compresión de los tendones del manguito de los rotadores durante los movimientos del hombro.
HP:0030882	Agrandamiento del diámetro (sección transversal) de una arteria coronaria definido por una dilatación focal de un segmento al menos 1,5 veces mayor que el vaso de referencia.
HP:0030883	El pinzamiento femoroacetabular (FAI) es el resultado de una o más anomalías óseas que provocan un contacto anormal entre el acetábulo y la cabeza o el cuello femorales. Se propone que la anomalía femoral provoca tensiones de compresión y cizallamiento en la región situada entre el labrum y el cartílago, anterosuperiormente. Estas tensiones provocan una separación entre el labrum y el cartílago, ya que el labrum es empujado hacia fuera y el cartílago es empujado hacia el centro. Esto acaba provocando una degeneración articular y, finalmente, una artrosis global de cadera.
HP:0030884	Problema de alimentación que requiere alimentación por sonda gastroyeyunal.
HP:0030885	Mayor susceptibilidad a las infecciones parasitarias, manifestada por episodios recurrentes de infección parasitaria.
HP:0030886	Una anomalía en la tasa de muerte celular programada (apoptosis) en los linfocitos.
HP:0030887	Aumento de la tasa de apoptosis en los linfocitos.
HP:0030888	Presencia de autoanticuerpos (inmunoglobulinas) en el suero que reaccionan contra la convertasa C3 (C3bBb).
HP:0030889	Longitud sustancialmente acortada del intestino delgado como consecuencia de un defecto de desarrollo.
HP:0030890	Una señal más brillante de lo esperado en la resonancia magnética que emana de la sustancia blanca cerebral.
HP:0030891	Zonas de señal más brillante de lo esperado en la resonancia magnética que emanan de la sustancia blanca cerebral que rodea los ventrículos cerebrales.
HP:0030892	Zonas de señal más brillante de lo esperado en la resonancia magnética que emanan de lugares distantes del sistema ventricular.
HP:0030893	La prueba vasodilatadora pulmonar se realiza durante un cateterismo cardíaco derecho y utiliza un agente vasoactivo de acción corta como la adenosina, el epoprostenol o el óxido nítrico inhalado. La definición actual de una respuesta normal (positiva) es un descenso de la presión arterial pulmonar media de al menos 10 mm Hg (o 20%) por debajo de 40 mm Hg.
HP:0030894	La presión arterial pulmonar media (PAPm) no disminuye en al menos 10 mmHg hasta un valor absoluto inferior a 40 mmHg sin degradación del gasto cardíaco (GC) en respuesta a un agente vasoactivo de acción corta como la adenosina, el epoprostenol o el óxido nítrico inhalado.
HP:0030895	Anomalía de las contracciones musculares que impulsan los alimentos a través del tracto gastrointestinal.
HP:0030896	Desviación del tiempo normal necesario para que los alimentos pasen por los intestinos.
HP:0030897	Reducción del tiempo necesario para que los alimentos pasen por los intestinos.
HP:0030898	El prurito es un picor o una sensación que hace que una persona quiera rascarse. Este término hace referencia a un aumento anormal de la sensación de picor sobre la piel del abdomen.
HP:0030899	El prurito es un picor o una sensación que hace que una persona quiera rascarse. Este término hace referencia a un aumento anormal de la sensación de picor sobre la piel de la mano.
HP:0030900	El prurito es un picor o una sensación que hace que una persona quiera rascarse. Este término hace referencia a un aumento anormal de la sensación de picor sobre la piel del pie.
HP:0030901	El prurito es un picor o una sensación que hace que una persona quiera rascarse. Este término hace referencia a un aumento anormal de la sensación de picor sobre la piel del pecho.
HP:0030902	Tipo de reflejo primitivo caracterizado por una contracción involuntaria del músculo mental de la barbilla provocada por la estimulación de la eminencia thenar de la palma de la mano.
HP:0030903	Tipo de reflejo primitivo que se puede provocar al introducir suavemente la mano del examinador en la palma de la mano del paciente. La superficie palmar se acaricia o simplemente se toca. Los dedos del examinador también pueden estimular las superficies flexoras de los dedos. El estímulo debe ir en dirección distal. Si la respuesta es positiva, el paciente agarra la mano del examinador con una fuerza variable y sigue agarrando mientras se mueve la mano del examinador. La capacidad de soltar el agarre voluntariamente depende de la actividad del reflejo; algunos pacientes pueden hacerlo fácilmente, mientras que otros pueden incluso ser levantados de la cama, ya que el agarre tiene tanta fuerza [NCBI Books:NBK395].
HP:0030904	Tipo de reflejo primitivo que se produce al golpear repetidamente la frente. Los sujetos normales suelen parpadear en respuesta a los primeros golpecitos, pero si el parpadeo persiste, la respuesta es anormal y se considera un signo de liberación frontal. El parpadeo persistente también se conoce como signo de Myerson.
HP:0030905	Tipo de reflejo primitivo que se produce al golpear ligeramente el labio superior. La contracción de los músculos hace que la boca se parezca a un hocico.
HP:0030906	Tipo de reflejo primitivo que se obtiene tocando o golpeando ligeramente los labios con un objeto, como una espátula lingual, un martillo de reflejos o el dedo del examinador. A veces, el reflejo se obtiene simplemente acercando un objeto a los labios. Un reflejo de succión positivo consiste en movimientos de succión de los labios cuando se acarician o se tocan.
HP:0030907	Dolor de cabeza intenso de aparición súbita, que alcanza su máxima intensidad en menos de un minuto y dura entre una hora y diez días.
HP:0030908	Presencia de autoanticuerpos (inmunoglobulinas) en el suero que reaccionan contra el P450 2D6, una monooxigenasa del citocromo P450. Los anticuerpos anti-LKM-1 se consideran un marcador diagnóstico de la hepatitis autoinmune de tipo 2 (HAI2).
HP:0030909	Presencia de autoanticuerpos (inmunoglobulinas) en el suero que reaccionan contra un péptido de 60 kd contenido en la fracción citosólica hepática.
HP:0030911	Dos clítorides situados uno al lado del otro.
HP:0030912	Clítoris supernumerario.
HP:0030913	Formación de rugosidades marcadas en la piel de los labios mayores.
HP:0030914	Anomalía de las contracciones musculares ondulatorias del tubo digestivo.
HP:0030915	Hinchazón por acumulación de líquido (infiltración de líquido seroso en el espacio intersticial) en el cerebelo.
HP:0030934	Lesión de la mucosa oral de color rojo aterciopelado pero no ulcerada. La textura puede ser rugosa o normal, y la lesión no es ni elevada ni deprimida.
HP:0030935	Anomalía estructural del tejido muscular involuntario no estriado del intestino.
HP:0030936	Estratificación anormal de la muscularis propria intestinal en tres capas; (1) circular interna; (2) oblicua adicional; y (3) capa longitudinal externa.
HP:0030937	Presencia de un exceso de tejido conjuntivo fibroso en la muscularis propria del intestino. La fibrosis es un proceso reparador o reactivo.
HP:0030938	Agregados de sustancias teñibles (proteínas) en los núcleos de las neuronas entéricas.
HP:0030939	Aumento del grosor del párpado no relacionado con una inflamación aguda.
HP:0030943	Dolor en la zona vulvar
HP:0030946	Masas tisulares elevadas localizadas en la conjuntiva palpebral con un vaso central. Las papilas se crean por una infiltración focal de células inflamatorias.
HP:0030947	Pequeños nódulos en forma de cúpula sin un vaso central prominente localizados en la conjuntiva. Los folículos linfoides se localizan en la región subendotelial de la conjuntiva. Constan de un centro germinal que contiene linfocitos inmaduros en proliferación, así como una corona que contiene linfocitos maduros y células plasmáticas.
HP:0030948	Aumento del nivel de la enzima gamma-glutamiltransferasa (GGT). La GGT está presente principalmente en las células renales, hepáticas y pancreáticas, pero en otros tejidos hay pequeñas cantidades.
HP:0030949	Acumulación anormal de proteínas en el glomérulo.
HP:0030950	Aumento anormal de la presión en las venas pulmonares, generalmente como consecuencia de la hipertensión auricular izquierda.
HP:0030951	Formación excesiva de bandas fibrosas de tejido cicatricial entre las fibras musculares.
HP:0030952	Múltiples lesiones hipopigmentadas de color amarillo-crema localizadas típicamente a nivel de la coroides o del epitelio pigmentario de la retina; ovoides, de color crema con bordes indistintos. Tienen un tamaño de entre 50 y 1.500 micrómetros con una distribución nasal y radial característica en el fondo de ojo postecuatorial.
HP:0030953	Dilatación de los vasos sanguíneos de la conjuntiva que provoca un aspecto rojo de la esclerótica.
HP:0030955	Un comportamiento adictivo se define como beber cantidades excesivas de alcohol durante un periodo prolongado de tiempo, tener dificultades para reducir la cantidad de alcohol consumida, desear fuertemente el alcohol y experimentar síntomas de abstinencia cuando no se bebe alcohol.
HP:0030956	Anomalía de la fisiología de la conducción eléctrica del corazón.
HP:0030957	Un arqueamiento (abombamiento hacia un lado) del tabique interventricular de más de 15 mm a cada lado en adultos y de 5 mm en niños durante el movimiento cardíaco normal.
HP:0030958	Arqueo (abombamiento) de la parte membranosa del tabique interventricular de más de 10-15 mm hacia la cavidad de un ventrículo adyacente (generalmente hacia el ventrículo derecho).
HP:0030959	Arqueo (abombamiento) de la parte muscular del tabique interventricular de más de 10-15 mm hacia la cavidad de un ventrículo adyacente (generalmente hacia el ventrículo derecho).
HP:0030961	La microesferofaquia es una anomalía congénita rara caracterizada por la forma esférica anormal del cristalino. Se caracteriza por un aumento del espesor anteroposterior del cristalino asociado a una reducción del diámetro ecuatorial. La patología primaria reside en el desarrollo de las zónulas. La afección suele ser bilateral y se caracteriza por lentes pequeñas, gruesas y esféricas.
HP:0030962	Anomalía estructural que afecta a un vaso sanguíneo implicado en la circulación del corazón, es decir, la vena cava superior o inferior, las arterias pulmonares, las venas pulmonares y la aorta.
HP:0030965	Las propiedades elásticas de la aorta le permiten almacenar la mitad del volumen sanguíneo expulsado por el corazón en cada latido, por lo que el retroceso aórtico durante la diástole empuja el volumen almacenado restante hacia la circulación periférica, un fenómeno conocido como función de Windkessel. La rigidez aórtica se produce cuando las fibras elásticas de la pared arterial se rompen debido a la tensión mecánica (con la edad o por otros factores). La rigidez aórtica se refiere a una reducción de la elasticidad de la aorta, que se asocia a una presión de pulso elevada, un aumento de la reflexión de las ondas y, a menudo, hipertensión.
HP:0030966	Anomalía de la estructura de la arteria pulmonar.
HP:0030967	Anomalía de la función de la arteria pulmonar.
HP:0030968	Anomalía de la estructura de las venas pulmonares.
HP:0030969	Anomalía de la función de las venas pulmonares.
HP:0030970	Anomalía de la función de las venas que devuelven la sangre desoxigenada del cuerpo al corazón, es decir, la vena cava superior y la vena cava inferior.
HP:0030972	Desviación crónica de la presión normal en el sistema arterial sistémico.
HP:0030973	La exacerbación de los síntomas postesfuerzo (PESE), también denominada malestar postesfuerzo (PEM), se define como el empeoramiento de los síntomas que puede seguir a una actividad cognitiva, física, emocional o social mínima, o a una actividad que antes se podía tolerar. Los síntomas suelen empeorar entre 12 y 72 horas después de la actividad y pueden durar días o incluso semanas, provocando a veces una recaída.
HP:0030974	Tipo de oligozoospermia en la que los espermatozoides sólo pueden detectarse en un eyaculado tras centrifugación e inspección del precipitado.
HP:0030975	Estructura anormal curvada o abovedada (tapada) que cubre el tercio medio del tegmento pontino dorsal y se proyecta hacia el cuarto ventrículo.
HP:0030976	Desviación de la actividad normal del factor VIII de la coagulación. El factor VIII (fVIII) es un cofactor de la cascada intrínseca de coagulación que se activa a fVIIIa en presencia de cantidades mínimas de trombina. fVIIIa actúa como receptor, para los factores IXa y X.
HP:0030977	Aumento de la actividad del factor VIII de la coagulación. El factor VIII (fVIII) es un cofactor de la cascada intrínseca de la coagulación que se activa a fVIIIa en presencia de cantidades mínimas de trombina. fVIIIa actúa como receptor, para los factores IXa y X.
HP:0030978	Reducción por debajo de los límites normales de la relación entre la concentración de albúmina en el líquido cefalorraquídeo (LCR) y la concentración de albúmina en el suero.
HP:0030979	Agrandamiento de los grandes vasos sanguíneos de la coroides.
HP:0030980	Una disminución del nivel de glutamina en el cerebro identificada por espectroscopia de resonancia magnética (MRS).
HP:0030981	Desviación del rango normal de la relación entre la concentración de albúmina en el líquido cefalorraquídeo (LCR) y la concentración en suero (que puede definirse como 3,2-9,0). Se trata de un índice de la integridad de la barrera hematoencefálica (BHE), ajustado a la concentración de albúmina en suero, y un aumento de la relación se considera un signo de pérdida de integridad de la BHE con fuga de albúmina al LCR.
HP:0030983	Tumor del ovario que afecta a los cordones sexuales. Los tecomas pueden ser desde pequeños tumores hasta grandes masas sólidas o sólido-quísticas de hasta 15 cm. Son unilaterales en más del 90% de los casos y rara vez son malignos. Los tecomas son tumores estromales formados por células que se asemejan a las células theca, las células luteínicas y los fibroblastos. Tradicionalmente se clasifican dentro de la categoría de tumores del estroma del cordón sexual de los tipos de tumores ováricos.
HP:0030984	Desviación de la concentración normal de ácidos biliares en suero.
HP:0030985	Reducción de la concentración de ácido biliar en la sangre.
HP:0030986	Hiperplasia de los epitelios de revestimiento de los conductos biliares septales y grandes que se manifiesta como proyecciones micropapilares o como una estratificación del epitelio con o sin dilatación del lumen del conducto.
HP:0030987	Colangitis caracterizada por la presencia de numerosas células polimorfonucleares alrededor y dentro de la pared, así como en el lumen de los conductos. Puede afectar a conductos de cualquier tamaño y en ocasiones se asocia a la formación de abscesos (absceso colangítico).
HP:0030988	Colangitis caracterizada por la acumulación de granulomas. Los granulomas son agregados de macrófagos modificados (células epitelioides) y otras células inflamatorias que se acumulan tras la exposición crónica a antígenos. El desencadenante subyacente puede ser la exposición a agentes nocivos que no pueden degradarse bioquímicamente o una disfunción inmunitaria. El resultado final es la liberación de una variedad de citocinas que estimulan a las células mononucleares que se fusionan para formar células gigantes multinucleadas con un borde circundante de linfocitos y fibroblastos.
HP:0030989	Colangitis caracterizada por una estrecha asociación entre ramas de conductos, generalmente conductos biliares interlobulares, y agregados linfocíticos, que pueden mostrar una disposición folicular.
HP:0030990	Colangitis asociada a infiltrados inflamatorios mixtos y a la presencia de fibrosis o esclerosis del árbol biliar.
HP:0030991	Colangitis asociada a una fibrosis ductal evidente que se desarrolla como consecuencia de una lesión inflamatoria, obstructiva o isquémica de larga duración de la vía biliar; puede ser obliterante o no obliterante.
HP:0030992	Cualquier anomalía estructural del conducto pancreático, que es la estructura tubular que recoge las secreciones pancreáticas exocrinas y las transporta al duodeno.
HP:0030993	Anomalía congénita caracterizada por la presencia de dos conductos pancreáticos separados.
HP:0030994	Anomalía congénita del páncreas que resulta de un fallo en la fusión de los conductos dorsal y ventral durante el desarrollo embrionario. Se han descrito tres variantes: tipo 1 o divisum clásico en el que hay un fallo total de la fusión; tipo 2 en el que el drenaje dorsal es dominante en ausencia del conducto de Wirsung; y tipo 3 o divisum incompleto en el que está presente una pequeña rama comunicante.
HP:0030996	Dilatación y elongación del duodeno con hipertrofia de todas las capas del duodeno.
HP:0030997	Cierre anormal u obstrucción de los conductos deferentes.
HP:0030998	Drenaje de líquido cefalorraquídeo por la nariz. Esto puede ocurrir cuando hay una fístula entre la duramadre y la base del cráneo y secreción de líquido cefalorraquídeo (LCR) por la nariz.
HP:0030999	Cualquier anomalía estructural del sáculo del vestíbulo. El sáculo es el órgano otolítico que percibe los movimientos en el plano sagital (es decir, el movimiento arriba-abajo).
HP:0031000	Deterioro o pérdida de los tejidos del sáculo del vestíbulo.
HP:0031001	Un fascículo o fascículo nervioso es un pequeño haz de axones rodeado por el perineuro. Un minifascículo se refiere a un grupo de axones finamente mielinizados y no mielinizados rodeados por un perineuro delicado, y con un diámetro menor que un fascículo nervioso normal.
HP:0031002	Inflamación de un nervio.
HP:0031003	Inflamación simultánea de múltiples nervios.
HP:0031004	Areflexia limitada a un lado del cuerpo.
HP:0031006	Tipo de parestesia (hormigueo, pinchazos, quemazón o entumecimiento o rigidez) que se produce en manos y pies y, en particular, en los dedos de manos y pies.
HP:0031008	Protrusiones, movimientos, espasmos y contorsiones involuntarios de la lengua.
HP:0031009	Desarrollo de un anillo de constricción fibrótico que afecta a la base de uno o varios dedos del pie, condicionando la eversión y la absorción de las estructuras distales, pudiendo evolucionar hacia la amputación espontánea.
HP:0031010	Falange accesoria del tercer dedo (medio) que se dispone linealmente con las otras falanges. La hiperfalangia es el resultado de un centro de osificación accesorio en la articulación metacarpofalángica.
HP:0031011	Vetas, parches o manchas de color amarillo en la superficie intimal de las arterias. Las estrías grasas se tiñen de rojo con Sudán III o Sudán IV.
HP:0031012	El fibroateroma de cubierta delgada se caracteriza por un núcleo necrótico relativamente grande con una cubierta fibrosa delgada superpuesta que mide menos de 65 micrómetros y suele contener numerosos macrófagos, y se considera la lesión precursora de la rotura de la placa, que es la causa más común de trombosis coronaria.
HP:0031013	Reducción de la movilidad articular como consecuencia de cambios que afectan a las superficies articulares.
HP:0031014	Normalmente, del arco de la aorta nacen tres grandes arterias: el tronco braquiocefálico (dividido en la arteria carótida común derecha y la arteria subclavia derecha), la arteria carótida común izquierda y la arteria subclavia izquierda. Sin embargo, cuando está presente la variante aberrante de la arteria subclavia derecha, el tronco braquiocefálico está ausente y cuatro grandes arterias nacen del arco de la aorta: la arteria carótida común derecha, la arteria carótida común izquierda, la arteria subclavia izquierda y la última con el origen más distal del lado izquierdo, la arteria subclavia derecha, también llamada arteria lusoria.
